時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.252,-3.191528,-0.104682118,-3.158569,-0.129501329,0.772336
0.254,-3.229065,-0.105913332,-3.213501,-0.131753541,0.7824394
0.256,-3.262634,-0.107014395,-3.261719,-0.133730479,0.81741255
0.258,-3.296814,-0.108135499,-3.311157,-0.135757437,0.8523857
0.26,-3.341064,-0.109586899,-3.363342,-0.137897022,0.8061434
0.262,-3.366699,-0.110427727,-3.324585,-0.136307985,0.8018689
0.264,-3.385315,-0.111038332,-3.456116,-0.141700756,0.7975944
0.266,-3.428345,-0.112449716,-3.518982,-0.144278262,0.8523857
0.268,-3.435364,-0.112679939,-3.562927,-0.146080007,0.8943534
0.27,-3.463135,-0.113590828,-3.615723,-0.148244643,0.9172803
0.272,-3.487854,-0.114401611,-3.668823,-0.150421743,0.8877474
0.274,-3.507996,-0.115062269,-3.717346,-0.152411186,0.8931877
0.276,-3.517151,-0.115362553,-3.764648,-0.154350568,0.8714266
0.278,-3.54187,-0.116173336,-3.806152,-0.156052232,0.8593803
0.28,-3.543701,-0.116233393,-3.856201,-0.158104241,0.8826957
0.282,-3.573303,-0.117204338,-3.903503,-0.160043623,0.9060111
0.284,-3.591614,-0.117804939,-3.939209,-0.161507569,0.9382642
0.286,-3.606262,-0.118285394,-3.988342,-0.163522022,0.9219434
0.288,-3.627625,-0.1189861,-4.032288,-0.165323808,0.9273836
0.29,-3.637085,-0.119296388,-4.071655,-0.166937855,0.9444816
0.292,-3.65387,-0.119846936,-4.154358,-0.170328678,0.9316581
0.294,-3.666382,-0.12025733,-4.153442,-0.170291122,0.9328239
0.296,-3.686218,-0.12090795,-4.187927,-0.171705007,0.9281608
0.298,-3.688049,-0.120968007,-4.216003,-0.172856123,0.9153373
0.3,-3.685608,-0.120887942,-4.238586,-0.173782026,0.9048454
0.302,-3.718872,-0.121979002,-4.26239,-0.17475799,0.9365155
0.304,-3.782959,-0.124081055,-4.280701,-0.175508741,0.9681856
0.306,-3.748474,-0.122949947,-4.298401,-0.176234441,0.982563
0.308,-3.765564,-0.123510499,-4.315796,-0.176947636,0.99733
0.31,-3.779602,-0.123970946,-4.33136,-0.17758576,0.9660484
0.312,-3.782959,-0.124081055,-4.356079,-0.178599239,0.9347668
