,t,θ,dθ,ddθ,w1
141,0.28200000000000003,0.3537845405734282,3.142417764087698,12.33214253888724,-0.14336009538222663
142,0.28400000000000003,0.3600939429182654,3.1669355941745927,12.185183418259271,-0.14458921450700235
143,0.28600000000000003,0.3664520849945929,3.1911564934031316,12.035217785953657,-0.14578629010437616
144,0.28800000000000003,0.3728583669522153,3.215074485628857,11.882282643746194,-0.14695037875064568
145,0.29,0.3793121770631421,3.238683669445078,11.726415726094798,-0.14808054422408284
146,0.292,0.38581289187252216,3.2619782196389613,11.567655490829113,-0.14917585803122635
147,0.294,0.39235987635247194,3.2849523886288114,11.406041109661606,-0.15023539993138724
148,0.296,0.3989524840587587,3.307600507882196,11.241612458522553,-0.15125825845910312
149,0.298,0.40559005729030156,3.329916989314585,11.074410107721217,-0.15224353144427719
150,0.3,0.4122719272514495,3.3518963266681108,10.904475311935744,-0.15319032652973819
151,0.302,0.41899741421699493,3.3735330968701653,10.731850000034232,-0.15409776168595923
152,0.304,0.4257658276998887,3.3948219613714596,10.556576764729325,-0.15496496572267335
153,0.306,0.43257646662160465,3.4157576674632297,10.378698852069169,-0.15579107879712517
154,0.308,0.43942861948512235,3.436335049573267,10.19826015076707,-0.15657525291869964
155,0.31,0.4463215645504767,3.4565490305404394,10.015305181372613,-0.15731665244966908
156,0.312,0.45325457001283737,3.4763946228674136,9.829879085286882,-0.15801445460180233
157,0.314,0.4602268941830707,3.4958669299512373,9.642027613624492,-0.15866784992858035
158,0.316,0.46723778567074026,3.514961147291509,9.451797115925194,-0.15927604281276544
159,0.318,0.4742864835695006,3.533672563675813,9.25923452871782,-0.1598382519490717
160,0.32,0.48137221764484056,3.5519965623421395,9.064387363939387,-0.16035371082168742
161,0.322,0.48849420852412645,3.5699286221180078,8.867303697212243,-0.16082166817640178
162,0.324,0.49565166788890075,3.5874643185359907,8.668032155982118,-0.16124138848709016
163,0.326,0.5028437986693872,3.6045993249253874,8.466621907520071,-0.161612152416315
164,0.328,0.5100697952411583,3.6213294134797716,8.263122646791114,-0.1619332572698014
165,0.33,0.5173288436239075,3.6376504563001264,8.057584584192817,-0.1622040174445496
166,0.332,0.5246201216822891,3.6535584264133565,7.850058433166599,-0.1624237648703482
167,0.334,0.5319427993287674,3.669049398765869,7.640595397684945,-0.16259184944445612
168,0.336,0.5392960387284277,3.684119551192035,7.429247159617595,-0.16270763945922279
169,0.338,0.5466789945057005,3.6987651653572415,7.2160658659798145,-0.16277052202242046
170,0.34,0.5540908139529443,3.712982627675341,7.00110411606592,-0.16277990347006432
171,0.342,0.5615306372408394,3.726768430200247,6.784414948471158,-0.16273520977150055
172,0.34400000000000003,0.5689975976305374,3.7401191714914654,6.566051828005238,-0.16263588692654493
173,0.34600000000000003,0.5764908216875155,3.753031557453359,6.346068632500695,-0.16248140135445857
